epoch,train_loss,validation_loss,learning_rate
1,0.02793490,0.01490952,0.001
2,0.01212937,0.01056382,0.001
3,0.00977651,0.00870027,0.001
4,0.00820697,0.00714257,0.001
5,0.00717774,0.00668866,0.001
6,0.00658709,0.00618704,0.001
7,0.00628184,0.00581877,0.001
8,0.00599399,0.00597208,0.001
9,0.00563636,0.00541263,0.001
10,0.00555475,0.00536865,0.001
11,0.00534793,0.00542521,0.001
12,0.00522658,0.00503846,0.001
13,0.00507554,0.00487869,0.001
14,0.00489471,0.00478704,0.001
15,0.00480949,0.00451726,0.001
16,0.00461374,0.00444117,0.001
17,0.00460085,0.00476450,0.001
18,0.00444290,0.00423091,0.001
19,0.00437199,0.00436294,0.001
20,0.00426685,0.00411134,0.001
21,0.00419965,0.00401166,0.001
22,0.00415001,0.00403365,0.001
23,0.00415912,0.00398452,0.001
24,0.00409644,0.00409147,0.001
25,0.00404389,0.00405457,0.001
26,0.00398079,0.00388826,0.001
27,0.00400978,0.00390139,0.001
28,0.00392335,0.00389831,0.001
29,0.00389934,0.00376393,0.001
30,0.00385911,0.00376717,0.001
31,0.00383512,0.00370253,0.001
32,0.00381604,0.00367557,0.001
33,0.00379530,0.00366129,0.001
34,0.00378410,0.00379307,0.001
35,0.00376188,0.00364422,0.001
36,0.00372916,0.00364655,0.001
37,0.00375519,0.00388366,0.001
38,0.00373881,0.00358544,0.001
39,0.00369552,0.00358124,0.001
40,0.00369436,0.00363311,0.001
41,0.00369724,0.00361848,0.001
42,0.00370217,0.00355497,0.001
43,0.00368134,0.00356434,0.001
44,0.00365106,0.00361323,0.001
45,0.00365536,0.00357419,0.001
46,0.00363512,0.00358352,0.001
