epoch,train_total_loss,train_reconstruction_loss,train_kl_loss,validation_total_loss,validation_reconstruction_loss,validation_kl_loss,epoch_time_seconds
1,0.05680367,,,0.05061452,0.04278143,7.833098,122.9
2,0.049552,,,0.04942099,0.04377182,5.64917,51.2
3,0.04870773,,,0.04805534,0.04137347,6.681868,49.7
4,0.04628413,,,0.04533762,0.03915352,6.1841,49.4
5,0.04454982,,,0.04406497,0.03738118,6.683791,49.5
6,0.04382549,,,0.04368656,0.03702449,6.662061,49.4
7,0.04348546,,,0.04365354,0.03702737,6.626164,49.7
8,0.04333169,,,0.04384038,0.03688372,6.956668,49.4
9,0.0429172,,,0.04283416,0.03556423,7.269935,49.5
10,0.04248806,,,0.04237346,0.03491403,7.459433,49.6
11,0.0422794,,,0.04232784,0.03520943,7.118412,49.4
12,0.04214893,,,0.04210306,0.03446303,7.640028,49.3
13,0.04208188,,,0.04253917,0.03478422,7.754953,49.2
14,0.04201451,,,0.04206979,0.03471655,7.353234,49.2
15,0.04204178,,,0.0422903,0.03441896,7.871342,49.3
16,0.04193979,,,0.04211762,0.0346658,7.451819,49.0
17,0.04188389,,,0.04215356,0.03436908,7.78448,49.1
18,0.04185492,,,0.04199941,0.03428656,7.71285,49.3
19,0.0417768,,,0.04188947,0.03455347,7.335998,49.2
20,0.04177553,,,0.04194391,0.03495997,6.983941,49.5
21,0.04168112,,,0.04194964,0.0343952,7.554441,49.2
22,0.04167423,,,0.04194888,0.03431349,7.635392,49.1
23,0.04162007,,,0.04164216,0.03452189,7.120268,49.4
24,0.04160659,,,0.04171666,0.0338074,7.909262,49.1
25,0.04158864,,,0.04178951,0.03410439,7.685117,49.1
26,0.04153178,,,0.04158184,0.03399435,7.587489,49.4
27,0.0414914,,,0.04164218,0.03433056,7.311627,49.2
28,0.0414981,,,0.04150632,0.03366736,7.838965,49.2
29,0.04145464,,,0.04160035,0.03429733,7.303023,49.0
30,0.04132097,,,0.04149372,0.03427584,7.217876,49.0
